s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
 Zaranj – Milak,1000,Z01,30.96555,61.823383,Zabul,AF26,31.8920122831119,67.5727547048278,10020
Zaranj – Milak,1005,Z01,30.96555,61.823383,Wardak,AF04,33.9906535809407,68.5043748145767,12670
Zaranj – Milak,1012,Z01,30.96555,61.823383,Uruzgan,AF25,33.1321487583643,66.5788131195753,9860
Zaranj – Milak,1017,Z01,30.96555,61.823383,Takhar,AF18,37.0884137711436,69.7183644915528,57555
Zaranj – Milak,1021,Z01,30.96555,61.823383,Sar-e-Pul,AF22,35.989302920813,66.1218557358955,27940
Zaranj – Milak,1025,Z01,30.96555,61.823383,Samangan,AF20,35.6997011995667,67.7016659935991,10030
Zaranj – Milak,1029,Z01,30.96555,61.823383,Parwan,AF03,34.8580626327989,68.5402491201714,30936
Zaranj – Milak,1033,Z01,30.96555,61.823383,Panjsher,AF08,35.646879827249,70.0627546221198,896
Torkham – Bab-i-Pakistan,1034,Z02,34.122641,71.093202,Panjsher,AF08,35.646879827249,70.0627546221198,4794
Torkham – Bab-i-Pakistan,1036,Z02,34.122641,71.093202,Paktya,AF13,33.7854887289057,69.4800588072264,13293
Torkham – Bab-i-Pakistan,1043,Z02,34.122641,71.093202,Paktika,AF12,32.1690877330917,68.7511182109164,29593
Torkham – Bab-i-Pakistan,1050,Z02,34.122641,71.093202,Nuristan,AF16,35.5708929481293,71.197723918524,736
Torkham – Bab-i-Pakistan,1053,Z02,34.122641,71.093202,Nimroz,AF34,30.1753261326768,62.0598987574247,30560
Torkham – Bab-i-Pakistan,1059,Z02,34.122641,71.093202,Nangarhar,AF06,34.2617042711356,70.8409610841147,144882
Torkham – Bab-i-Pakistan,1064,Z02,34.122641,71.093202,Logar,AF05,33.812224972129,68.9706463877735,12730
Spin Boldak –  Chaman,1068,Z03,30.955879,66.437425,Logar,AF05,33.812224972129,68.9706463877735,3198
Spin Boldak –  Chaman,1071,Z03,30.955879,66.437425,Laghman,AF07,34.6408124383372,70.1900782989607,26418
Spin Boldak –  Chaman,1076,Z03,30.955879,66.437425,Kunduz,AF19,36.5855669176356,68.7513908158571,67784
Spin Boldak –  Chaman,1081,Z03,30.955879,66.437425,Kunar,AF15,35.1424301034945,71.4004029371167,21651
Spin Boldak –  Chaman,1086,Z03,30.955879,66.437425,Khost,AF14,33.3666027875108,70.1209948348634,31966
Spin Boldak –  Chaman,1094,Z03,30.955879,66.437425,Kapisa,AF02,35.0296414314863,69.579116726,27040
Spin Boldak –  Chaman,1098,Z03,30.955879,66.437425,Kandahar,AF27,30.5612417693539,65.6678918886485,3518
Pathan,1100,Z04,33.834275,69.943411,Kandahar,AF27,30.5612417693539,65.6678918886485,33191
Pathan,1104,Z04,33.834275,69.943411,Kabul,AF01,34.4982470088801,69.5893624878111,20948
Islam Qala - Taybad,1105,Z05,34.70799,61.00488,Kabul,AF01,34.4982470088801,69.5893624878111,166628
Islam Qala - Taybad,1111,Z05,34.70799,61.00488,Jawzjan,AF28,36.7279435569897,65.9083071464448,16554
Islam Qala - Taybad,1115,Z05,34.70799,61.00488,Herat,AF32,33.5831281957975,62.0154714022423,158680
Islam Qala - Taybad,1121,Z05,34.70799,61.00488,Helmand,AF30,30.459467665301,63.9857726187421,23602
Islam Qala - Taybad,1128,Z05,34.70799,61.00488,Ghor,AF23,33.8777732052665,64.8396477518651,23144
Islam Qala - Taybad,1133,Z05,34.70799,61.00488,Ghazni,AF11,33.086708741173,67.7671337681237,38118
Ghulam Khan,1139,Z06,33.150936,70.029985,Ghazni,AF11,33.086708741173,67.7671337681237,201
Ghulam Khan,1142,Z06,33.150936,70.029985,Faryab,AF29,35.6414521370214,64.848759473622,43618
Ghulam Khan,1146,Z06,33.150936,70.029985,Farah,AF33,32.385917859241,61.8148472573131,39240
Bahramcha,1152,Z07,29.42026,64.015136,Daykundi,AF24,34.0431176284947,66.1400827394401,17626
Bahramcha,1156,Z07,29.42026,64.015136,Bamyan,AF10,34.586524687062,66.9657709578099,12902
Bahramcha,1161,Z07,29.42026,64.015136,Balkh,AF21,36.266376351054,66.8644169925129,63534
Angor ada,1165,Z08,32.519404,69.272673,Balkh,AF21,36.266376351054,66.8644169925129,30
Angor ada,1167,Z08,32.519404,69.272673,Baghlan,AF09,35.4932505600309,68.5327724729862,55164
Angor ada,1172,Z08,32.519404,69.272673,Badghis,AF31,35.51666597367,63.6126397656532,8546
Abu Nasr Farahi,1174,Z09,32.165039,60.873467,Badghis,AF31,35.51666597367,63.6126397656532,19546
Abu Nasr Farahi,1176,Z09,32.165039,60.873467,Badakhshan,AF17,36.9601251470652,70.8103034376905,28900
Badakhshan,AF17,36.9601251470652,70.8103034376905,28900,Abu Nasr Farahi,1176,Z09,32.165039,60.873467
